method_id,display_name,method_group,source_name,reference_text,hypothesis_text,wer,edits,reference_token_count,trial_path
female_leaning,FreeVC female,Method 1: FreeVC baseline,test,南方科技大学电子与电器工程系信息工程专业,"男人放科幣大學電子電池工程系,信息工程專業",0.55,11,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/final/preferred_variants/test_denoised_female_leaning.wav
female_leaning,FreeVC female,Method 1: FreeVC baseline,green,我选择的颜色是绿色,我选择的颜色是绿色,0.0,0,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/final/preferred_variants/绿色_denoised_female_leaning.wav
male_leaning,FreeVC male,Method 1: FreeVC baseline,test,南方科技大学电子与电器工程系信息工程专业,南方科技大学电子应该变成协议你看 工程协议 信息工程专业,0.5,10,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/final/preferred_variants/test_denoised_male_leaning.wav
male_leaning,FreeVC male,Method 1: FreeVC baseline,green,我选择的颜色是绿色,我选择的颜色是绿色,0.0,0,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/final/preferred_variants/绿色_denoised_male_leaning.wav
raw_metric_female,Raw metric female,Method 2: Metric-enhanced,test,南方科技大学电子与电器工程系信息工程专业,"南方科技大学,电子里面的系业工程的系业,心理系的工程专业",0.55,11,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/vc_candidates/female_leaning/test_denoised/test_denoised_freevc_female_leaning_s4.wav
raw_metric_female,Raw metric female,Method 2: Metric-enhanced,green,我选择的颜色是绿色,我先做点这些谜色,0.7777777777777778,7,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/vc_candidates/female_leaning/绿色_denoised/绿色_denoised_freevc_female_leaning_s4.wav
raw_metric_male,Raw metric male,Method 2: Metric-enhanced,test,南方科技大学电子与电器工程系信息工程专业,"南方科技大學電子裡面寫工程寫,實際上是工程專業",0.6,12,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/vc_candidates/male_leaning/test_denoised/test_denoised_freevc_male_leaning_s6.wav
raw_metric_male,Raw metric male,Method 2: Metric-enhanced,green,我选择的颜色是绿色,我选择的颜色是绿色。,0.0,0,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_smooth_verify/vc_candidates/male_leaning/绿色_denoised/绿色_denoised_freevc_male_leaning_s6.wav
balanced_phone_clean_female,Metric+phone female,Method 2: Metric-enhanced,test,南方科技大学电子与电器工程系信息工程专业,南方科技大學電子裏面的協議還有工程協議心理學工程專業,0.8,16,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_metric_attack/postprocessed/phone_clean/test_denoised/test_denoised_freevc_f_s4_phone_clean.wav
balanced_phone_clean_female,Metric+phone female,Method 2: Metric-enhanced,green,我选择的颜色是绿色,"Wash into the air, this is Musso",2.7777777777777777,25,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_metric_attack/postprocessed/phone_clean/绿色_denoised/denoised_freevc_f_s4_phone_clean.wav
balanced_phone_clean_male,Metric+phone male,Method 2: Metric-enhanced,test,南方科技大学电子与电器工程系信息工程专业,"南方科技大學電子應變企業工程企業,實際是工程卵業",0.65,13,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_metric_attack/postprocessed/phone_clean/test_denoised/test_denoised_freevc_m_s6_phone_clean.wav
balanced_phone_clean_male,Metric+phone male,Method 2: Metric-enhanced,green,我选择的颜色是绿色,我選擇的一項是鋁鎖,0.6666666666666666,6,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_metric_attack/postprocessed/phone_clean/绿色_denoised/denoised_freevc_m_s6_phone_clean.wav
ppg_tone_female,PPG-tone female,Method 3: PPG-inspired tone,test,南方科技大学电子与电器工程系信息工程专业,南方科技大學電子裏面的協議還有工程的協議心理學工程專業,0.85,17,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_ppg_tone/final/recommended/ppg_tone_female/test_denoised_ppg_tone_female.wav
ppg_tone_female,PPG-tone female,Method 3: PPG-inspired tone,green,我选择的颜色是绿色,我现在的颜色是蜜色,0.3333333333333333,3,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_ppg_tone/final/recommended/ppg_tone_female/绿色_denoised_ppg_tone_female.wav
ppg_tone_male,PPG-tone male,Method 3: PPG-inspired tone,test,南方科技大学电子与电器工程系信息工程专业,"南方科技大學電子應變企業工程企業,實際是工程卵業",0.65,13,20,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_ppg_tone/final/recommended/ppg_tone_male/test_denoised_ppg_tone_male.wav
ppg_tone_male,PPG-tone male,Method 3: PPG-inspired tone,green,我选择的颜色是绿色,我選擇的一項是鋁鎖,0.6666666666666666,6,9,/Users/hwy/Desktop/个人/26春/语音信号处理/期末proj/work_ppg_tone/final/recommended/ppg_tone_male/绿色_denoised_ppg_tone_male.wav
